Timestamp,Gender,Age,Department,Are_you_happy_with_your_department_work_area,Why_did_you_chosen_your_department_work_area,Current_year_you_are_studying_in,Cgpa,Are_you_having_proper_sleep_everyday,How_much_time_are_you_sleeping_everyday,Are_you_getting_good_food_diet_everyday,What_is_your_screen_time,On_what_do_you_spend_your_screen_time_more,From_where_you_are_getting_stress,When_you_are_stressed_more,What_will_you_like_to_do_when_you_are_stressed,How_did_you_felt_during_COVID_19_pandemic_period,concentrate_on_your_work_when_you_are_stressed
25-08-2022 20:47,Male,18,CSE,No,Due to Family pressure,3,7.64,No,4,No,10,Social Media,Thinking about future,About Money,Travelling,Happy,No
25-08-2022 20:47,Female,18,CSE,No,Due to Family pressure,4,9.08,Yes,10,No,5,Social Media,No stress,No sleep,Sleeping,Happy,Yes
25-08-2022 20:47,Female,18,CSE,No,Interested,3,9,No,4,No,5,Social Media,Thinking about future,During exams,Listen's Music,Boring,No
25-08-2022 20:49,Female,18,CSE,Yes,Interested,2,8.7,No,5,No,5,Other  ( Series/Movies ),Studies/work,Threaten,Listen's Music,Boring,No
25-08-2022 20:51,Male,18,CSE,Yes,Interested,4,8,Yes,7,No,4,Social Media,Thinking about future,About Money,Listen's Music,Happy,No
25-08-2022 20:51,Female,18,BARCH,Yes,Interested,3,8.48,No,6,No,5,Social Media,Studies/work,No sleep,Sharing feelings with someone,Boring,Yes
25-08-2022 20:51,Male,18,MECH,Yes,Interested,2,7,No,6,Yes,10,Social Media,Love,About Love,Being calm or Being alone,Boring,No
25-08-2022 20:52,Male,18,IT,No,All are choosing so I also chosen,2,8.94,No,5,No,5,Social Media,Balancing my work n sleep,About Food,Listen's Music,Boring,No
25-08-2022 20:52,Female,18,CSE,Yes,Interested,3,7.8,Yes,4,Yes,5,Other  ( Series/Movies ),Thinking about future,During exams,Listen's Music,Happy,No
25-08-2022 20:53,Female,18,FOODTECH,Yes,Future scope,3,9.04,Yes,8,Yes,8,Other  ( Series/Movies ),Thinking about future,No sleep,Being calm or Being alone,Boring,No
25-08-2022 20:54,Female,17,CSE,Yes,Future scope,2,9.1,Yes,8,Yes,5,Studies,Studies/work,During exams,Meditation,Boring,No
25-08-2022 20:54,Female,17,EEE,No,Due to Family pressure,4,6.75,Yes,6,Yes,7,Other  ( Series/Movies ),Health,Threaten,Listen's Music,"Stressed, Boring",No
25-08-2022 20:54,Male,21,CSE,Yes,Interested,3,8.19,Yes,8,Yes,5,Studies,Studies/work,About Faculty,Listen's Music,Happy,Yes
25-08-2022 20:54,Male,21,CSE,Yes,Interested,2,8.5,Yes,8,Yes,4,Other  ( Series/Movies ),Friends ,About Love,Sharing feelings with someone,"Happy, Boring",No
25-08-2022 20:54,Female,21,BSC ,Yes,Interested,3,9,No,3,No,4,Social Media,Thinking about future,About Money,Listen's Music,Boring,No
25-08-2022 20:55,Male,21,CSE,Yes,Interested,3,6.2,Yes,8,Yes,5,Social Media,Thinking about future,During exams,Listen's Music,Boring,Yes
25-08-2022 20:55,Male,21,CSE,Yes,Due to Family pressure,3,7,No,2,No,3,Other  ( Series/Movies ),Studies/work,About Faculty,Listen's Music,Happy,No
25-08-2022 20:55,Male,21,CSE,No,Interested,3,8.7,Yes,5,No,5,Other  ( Series/Movies ),Thinking about future,During exams,Meditation,Happy,No
25-08-2022 20:55,Male,21,CSE,Yes,Interested,3,8,Yes,7,Yes,5,Studies,Thinking about future,During exams,Being calm or Being alone,"Depressed, Stressed, Boring",No
25-08-2022 20:56,Female,21,CSE,No,All are choosing so I also chosen,2,0,No,5,No,2,Other  ( Series/Movies ),Thinking about future,During exams,I just wanna sleep peacefully ,Boring,No
