,Song,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Cluster
623,Vodka fraise,Zaza Fournier,0.585,0.79,7,-3.738,0,0.025,0.0266,4.73e-05,0.187,0.541,111.986,audio_features,673RSRNPwmh1QOKC7XeSqw,spotify:track:673RSRNPwmh1QOKC7XeSqw,https://api.spotify.com/v1/tracks/673RSRNPwmh1QOKC7XeSqw,https://api.spotify.com/v1/audio-analysis/673RSRNPwmh1QOKC7XeSqw,276947,4,Cluster 3
624,Sandrina - Roni Iron Deep & Love Mix,Charly H. Fox,0.657,0.508,11,-12.564,0,0.0534,0.0626,0.177,0.101,0.43,117.985,audio_features,4NuQvFFRjxNDBaCKw0mmS7,spotify:track:4NuQvFFRjxNDBaCKw0mmS7,https://api.spotify.com/v1/tracks/4NuQvFFRjxNDBaCKw0mmS7,https://api.spotify.com/v1/audio-analysis/4NuQvFFRjxNDBaCKw0mmS7,334515,4,Cluster 1
625,Holding On (feat. Bob Moses),Frank & Tony,0.804,0.342,8,-13.694,1,0.169,0.000474,0.769,0.101,0.488,114.994,audio_features,5VtvnXORHIGpAwEsZyWNqb,spotify:track:5VtvnXORHIGpAwEsZyWNqb,https://api.spotify.com/v1/tracks/5VtvnXORHIGpAwEsZyWNqb,https://api.spotify.com/v1/audio-analysis/5VtvnXORHIGpAwEsZyWNqb,428631,4,Cluster 1
626,Keeping Me Alive,Bob Moses,0.584,0.604,4,-9.083,1,0.0496,0.0102,0.0495,0.718,0.282,84.964,audio_features,2xHmz6TH9q7BidGZxJwv97,spotify:track:2xHmz6TH9q7BidGZxJwv97,https://api.spotify.com/v1/tracks/2xHmz6TH9q7BidGZxJwv97,https://api.spotify.com/v1/audio-analysis/2xHmz6TH9q7BidGZxJwv97,293520,4,Cluster 3
627,Stil,Acid Arab,0.807,0.778,8,-7.407,1,0.0397,0.000272,0.798,0.0957,0.318,119.998,audio_features,6rLd4f55lXkoz7qbQoEmu8,spotify:track:6rLd4f55lXkoz7qbQoEmu8,https://api.spotify.com/v1/tracks/6rLd4f55lXkoz7qbQoEmu8,https://api.spotify.com/v1/audio-analysis/6rLd4f55lXkoz7qbQoEmu8,425107,4,Cluster 1
628,One of Us,Sezer Uysal,0.793,0.815,2,-8.717,1,0.0448,0.00398,0.842,0.0742,0.662,120.991,audio_features,2FDX0I6G90CxQIpKvudCU0,spotify:track:2FDX0I6G90CxQIpKvudCU0,https://api.spotify.com/v1/tracks/2FDX0I6G90CxQIpKvudCU0,https://api.spotify.com/v1/audio-analysis/2FDX0I6G90CxQIpKvudCU0,417049,4,Cluster 1
629,If You Only Knew,Finnebassen,0.82,0.498,4,-8.968,0,0.0481,0.00292,0.122,0.0546,0.431,117.048,audio_features,5eeop5sAkiwIKqWl8b3UHv,spotify:track:5eeop5sAkiwIKqWl8b3UHv,https://api.spotify.com/v1/tracks/5eeop5sAkiwIKqWl8b3UHv,https://api.spotify.com/v1/audio-analysis/5eeop5sAkiwIKqWl8b3UHv,382000,4,Cluster 1
630,We Want Your Soul,Klangkarussell,0.84,0.582,0,-7.929,1,0.0787,0.214,0.00299,0.132,0.457,122.035,audio_features,3qq1PWuwUVafnR3uHeUFI6,spotify:track:3qq1PWuwUVafnR3uHeUFI6,https://api.spotify.com/v1/tracks/3qq1PWuwUVafnR3uHeUFI6,https://api.spotify.com/v1/audio-analysis/3qq1PWuwUVafnR3uHeUFI6,505653,4,Cluster 1
631,Insomnis,Markus Homm,0.813,0.707,5,-7.832,0,0.0594,0.000866,0.822,0.0404,0.512,123.02,audio_features,1j3jRzlVNQdtFynUsKjQNh,spotify:track:1j3jRzlVNQdtFynUsKjQNh,https://api.spotify.com/v1/tracks/1j3jRzlVNQdtFynUsKjQNh,https://api.spotify.com/v1/audio-analysis/1j3jRzlVNQdtFynUsKjQNh,472500,4,Cluster 1
632,Savannah,Doctor Dru,0.806,0.927,4,-11.276,0,0.0476,0.00725,0.873,0.0841,0.351,122.004,audio_features,3xojtynI2ZLYs4lg1XUtiQ,spotify:track:3xojtynI2ZLYs4lg1XUtiQ,https://api.spotify.com/v1/tracks/3xojtynI2ZLYs4lg1XUtiQ,https://api.spotify.com/v1/audio-analysis/3xojtynI2ZLYs4lg1XUtiQ,442273,3,Cluster 1
633,Two Suns In The Sky - Original Mix,DAVI,0.808,0.451,0,-12.013,1,0.0714,0.0134,0.776,0.106,0.353,120.961,audio_features,421K1TkafpRvEbwJNmnloL,spotify:track:421K1TkafpRvEbwJNmnloL,https://api.spotify.com/v1/tracks/421K1TkafpRvEbwJNmnloL,https://api.spotify.com/v1/audio-analysis/421K1TkafpRvEbwJNmnloL,445723,4,Cluster 1
634,"Desire feat. Seth Schwarz, Jörg Schwenzer",Mollono.Bass,0.784,0.454,9,-11.318,0,0.0445,0.0159,0.91,0.0933,0.281,123.023,audio_features,0UNHo67zVAPLaAXb5jYsvC,spotify:track:0UNHo67zVAPLaAXb5jYsvC,https://api.spotify.com/v1/tracks/0UNHo67zVAPLaAXb5jYsvC,https://api.spotify.com/v1/audio-analysis/0UNHo67zVAPLaAXb5jYsvC,498998,4,Cluster 1
635,Your Loving Arms - Martin Roth NuStyle Remix,Karen Overton,0.798,0.745,2,-7.864,1,0.0368,0.0637,0.0631,0.11,0.0623,117.989,audio_features,77vlTpgb3fOls0ktaXIlcB,spotify:track:77vlTpgb3fOls0ktaXIlcB,https://api.spotify.com/v1/tracks/77vlTpgb3fOls0ktaXIlcB,https://api.spotify.com/v1/audio-analysis/77vlTpgb3fOls0ktaXIlcB,179922,4,Cluster 3
636,Herneise - Sezer Uysal Remix,Sezer Uysal,0.733,0.71,7,-8.854,1,0.0542,0.000945,0.833,0.0882,0.343,123.008,audio_features,1f1MgBW40XGDkOYDyCSOdO,spotify:track:1f1MgBW40XGDkOYDyCSOdO,https://api.spotify.com/v1/tracks/1f1MgBW40XGDkOYDyCSOdO,https://api.spotify.com/v1/audio-analysis/1f1MgBW40XGDkOYDyCSOdO,480015,4,Cluster 1
637,Go It Alone,Beck,0.869,0.393,1,-10.438,1,0.0564,0.557,0.557,0.105,0.519,149.953,audio_features,7zeCIWu37bKFJuem8MTyM1,spotify:track:7zeCIWu37bKFJuem8MTyM1,https://api.spotify.com/v1/tracks/7zeCIWu37bKFJuem8MTyM1,https://api.spotify.com/v1/audio-analysis/7zeCIWu37bKFJuem8MTyM1,248840,4,Cluster 1
638,Famous Blue Raincoat,Marissa Nadler,0.307,0.148,1,-14.275,0,0.0338,0.923,1.8e-06,0.11,0.0781,152.611,audio_features,2l49mZF5JZKIV4b6foBkMr,spotify:track:2l49mZF5JZKIV4b6foBkMr,https://api.spotify.com/v1/tracks/2l49mZF5JZKIV4b6foBkMr,https://api.spotify.com/v1/audio-analysis/2l49mZF5JZKIV4b6foBkMr,263600,4,Cluster 3
639,Clap Your Hands - Solomun Remix,Whilk & Misky,0.804,0.762,4,-8.843,0,0.0457,0.00224,0.815,0.0604,0.517,120.999,audio_features,4FM4iKzPwe72N7Za9K2S7Z,spotify:track:4FM4iKzPwe72N7Za9K2S7Z,https://api.spotify.com/v1/tracks/4FM4iKzPwe72N7Za9K2S7Z,https://api.spotify.com/v1/audio-analysis/4FM4iKzPwe72N7Za9K2S7Z,577508,4,Cluster 1
640,Praerie,Doctor Dru,0.783,0.639,11,-9.797,0,0.0581,0.000687,0.825,0.0644,0.156,122.008,audio_features,5JqLUIJsdxOjL1CiBZLkPS,spotify:track:5JqLUIJsdxOjL1CiBZLkPS,https://api.spotify.com/v1/tracks/5JqLUIJsdxOjL1CiBZLkPS,https://api.spotify.com/v1/audio-analysis/5JqLUIJsdxOjL1CiBZLkPS,407053,4,Cluster 1
641,Your Love Rocks,The Avener,0.727,0.763,3,-5.841,0,0.137,0.417,1.41e-05,0.176,0.754,104.009,audio_features,6LHbXYD7lfDKwA16gCmNPC,spotify:track:6LHbXYD7lfDKwA16gCmNPC,https://api.spotify.com/v1/tracks/6LHbXYD7lfDKwA16gCmNPC,https://api.spotify.com/v1/audio-analysis/6LHbXYD7lfDKwA16gCmNPC,248773,4,Cluster 3
