,Song,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Cluster
0,New Fires,Christian Löffler,0.712,0.569,6,-10.819,0,0.0348,0.346,0.492,0.0794,0.241,116.016,audio_features,6I7nESv5d9zf9DcEA9I25u,spotify:track:6I7nESv5d9zf9DcEA9I25u,https://api.spotify.com/v1/tracks/6I7nESv5d9zf9DcEA9I25u,https://api.spotify.com/v1/audio-analysis/6I7nESv5d9zf9DcEA9I25u,251591,4,Cluster 1
1,Welcome To The Opera (with Grimes),Anyma,0.455,0.897,5,-6.345,0,0.0507,0.0073,0.259,0.429,0.0578,124.977,audio_features,3XgtRplaKaBn8lxBCAhfwI,spotify:track:3XgtRplaKaBn8lxBCAhfwI,https://api.spotify.com/v1/tracks/3XgtRplaKaBn8lxBCAhfwI,https://api.spotify.com/v1/audio-analysis/3XgtRplaKaBn8lxBCAhfwI,245280,4,Cluster 3
2,How To Listen To This Album,Stereoclip,0.551,0.712,9,-10.032,0,0.0514,0.285,0.44,0.109,0.0746,123.059,audio_features,0Py4iHLT1CPUOB6UJCrKeq,spotify:track:0Py4iHLT1CPUOB6UJCrKeq,https://api.spotify.com/v1/tracks/0Py4iHLT1CPUOB6UJCrKeq,https://api.spotify.com/v1/audio-analysis/0Py4iHLT1CPUOB6UJCrKeq,150462,4,Cluster 3
3,Moment - Mahmut Orhan Remix,PaulWetz,0.814,0.518,1,-9.994,0,0.0751,0.141,0.415,0.154,0.327,123.029,audio_features,3M6U1RZt2xU6GuVk80pIO0,spotify:track:3M6U1RZt2xU6GuVk80pIO0,https://api.spotify.com/v1/tracks/3M6U1RZt2xU6GuVk80pIO0,https://api.spotify.com/v1/audio-analysis/3M6U1RZt2xU6GuVk80pIO0,230046,4,Cluster 1
4,Sign of the Times,Harry Styles,0.516,0.595,5,-4.63,1,0.0313,0.0275,0.0,0.109,0.222,119.972,audio_features,5Ohxk2dO5COHF1krpoPigN,spotify:track:5Ohxk2dO5COHF1krpoPigN,https://api.spotify.com/v1/tracks/5Ohxk2dO5COHF1krpoPigN,https://api.spotify.com/v1/audio-analysis/5Ohxk2dO5COHF1krpoPigN,340707,4,Cluster 3
5,Delichones,Anatolian Sessions,0.716,0.732,2,-10.099,1,0.0449,0.000989,0.799,0.0977,0.0513,115.998,audio_features,6qiwOC5TeKXK4pDonIZxgR,spotify:track:6qiwOC5TeKXK4pDonIZxgR,https://api.spotify.com/v1/tracks/6qiwOC5TeKXK4pDonIZxgR,https://api.spotify.com/v1/audio-analysis/6qiwOC5TeKXK4pDonIZxgR,405539,4,Cluster 1
6,Elinari,Anatolian Sessions,0.882,0.446,8,-11.997,1,0.083,0.00835,0.807,0.0813,0.281,110.014,audio_features,4EpCZkyDQeTSXocPuusxl4,spotify:track:4EpCZkyDQeTSXocPuusxl4,https://api.spotify.com/v1/tracks/4EpCZkyDQeTSXocPuusxl4,https://api.spotify.com/v1/audio-analysis/4EpCZkyDQeTSXocPuusxl4,432017,4,Cluster 1
7,Elegy,Madota,0.827,0.392,2,-10.817,1,0.0677,0.0097,0.101,0.371,0.072,94.043,audio_features,7lBkVj5MpgXpJU0snOYxnU,spotify:track:7lBkVj5MpgXpJU0snOYxnU,https://api.spotify.com/v1/tracks/7lBkVj5MpgXpJU0snOYxnU,https://api.spotify.com/v1/audio-analysis/7lBkVj5MpgXpJU0snOYxnU,324246,4,Cluster 1
8,Caminando de Noche,Niko Schwind,0.805,0.444,9,-10.148,0,0.0488,0.125,0.886,0.0875,0.334,118.011,audio_features,4L7g38G0N4RWSdaciFkTdQ,spotify:track:4L7g38G0N4RWSdaciFkTdQ,https://api.spotify.com/v1/tracks/4L7g38G0N4RWSdaciFkTdQ,https://api.spotify.com/v1/audio-analysis/4L7g38G0N4RWSdaciFkTdQ,464237,4,Cluster 1
9,Only We Can See,Sam Koxx,0.624,0.726,6,-8.998,0,0.0415,0.554,0.877,0.141,0.109,121.027,audio_features,1jO7upFXvgzsCiCPrOouT4,spotify:track:1jO7upFXvgzsCiCPrOouT4,https://api.spotify.com/v1/tracks/1jO7upFXvgzsCiCPrOouT4,https://api.spotify.com/v1/audio-analysis/1jO7upFXvgzsCiCPrOouT4,168595,4,Cluster 3
10,Vesaire - Sezer Uysal Mix,Mahmut Orhan,0.797,0.609,9,-8.323,0,0.058,0.00317,0.871,0.101,0.0614,115.001,audio_features,1evKg7tbQKSGsW4fCNc8rN,spotify:track:1evKg7tbQKSGsW4fCNc8rN,https://api.spotify.com/v1/tracks/1evKg7tbQKSGsW4fCNc8rN,https://api.spotify.com/v1/audio-analysis/1evKg7tbQKSGsW4fCNc8rN,453982,4,Cluster 1
11,Ordinary Friend,Bob Moses,0.538,0.709,8,-4.772,1,0.03,0.00141,0.00119,0.0927,0.209,140.003,audio_features,13mhxEx7vmeGk6e2Zk5gTQ,spotify:track:13mhxEx7vmeGk6e2Zk5gTQ,https://api.spotify.com/v1/tracks/13mhxEx7vmeGk6e2Zk5gTQ,https://api.spotify.com/v1/audio-analysis/13mhxEx7vmeGk6e2Zk5gTQ,190221,4,Cluster 3
12,Before I Fall,Bob Moses,0.538,0.582,9,-6.723,0,0.0396,0.163,2.64e-05,0.111,0.405,86.001,audio_features,6aLJ9KG3iQ0hgBcUyANvI2,spotify:track:6aLJ9KG3iQ0hgBcUyANvI2,https://api.spotify.com/v1/tracks/6aLJ9KG3iQ0hgBcUyANvI2,https://api.spotify.com/v1/audio-analysis/6aLJ9KG3iQ0hgBcUyANvI2,239373,4,Cluster 3
13,Time and Time Again - Single Edit,Bob Moses,0.559,0.906,4,-2.819,0,0.0369,0.0842,0.00834,0.1,0.444,121.997,audio_features,6giM7T99H6Xr4O2q4i4MQS,spotify:track:6giM7T99H6Xr4O2q4i4MQS,https://api.spotify.com/v1/tracks/6giM7T99H6Xr4O2q4i4MQS,https://api.spotify.com/v1/audio-analysis/6giM7T99H6Xr4O2q4i4MQS,234098,4,Cluster 3
14,Afterglow,Bob Moses,0.676,0.738,0,-4.763,0,0.041,0.0168,0.00133,0.0658,0.185,121.073,audio_features,1Aic3Xbzma3Nb0sSwqGCdf,spotify:track:1Aic3Xbzma3Nb0sSwqGCdf,https://api.spotify.com/v1/tracks/1Aic3Xbzma3Nb0sSwqGCdf,https://api.spotify.com/v1/audio-analysis/1Aic3Xbzma3Nb0sSwqGCdf,269752,4,Cluster 3
15,Danza,Anfisa Letyago,0.743,0.949,1,-10.507,0,0.067,7.42e-05,0.902,0.12,0.0703,144.999,audio_features,3no0PA8ugEmUA5ysy2RwkF,spotify:track:3no0PA8ugEmUA5ysy2RwkF,https://api.spotify.com/v1/tracks/3no0PA8ugEmUA5ysy2RwkF,https://api.spotify.com/v1/audio-analysis/3no0PA8ugEmUA5ysy2RwkF,347590,4,Cluster 1
16,Rosso Profondo,Anfisa Letyago,0.722,0.845,10,-7.891,0,0.0574,0.0996,0.709,0.129,0.57,133.998,audio_features,2lHBQNCTJjSldyb61SeZeD,spotify:track:2lHBQNCTJjSldyb61SeZeD,https://api.spotify.com/v1/tracks/2lHBQNCTJjSldyb61SeZeD,https://api.spotify.com/v1/audio-analysis/2lHBQNCTJjSldyb61SeZeD,333134,4,Cluster 1
17,Tears of Bliss,Giorgia Angiuli,0.618,0.949,11,-8.67,0,0.0353,0.0767,0.632,0.163,0.0583,125.004,audio_features,0teW5dLshuVihElDHdC6EZ,spotify:track:0teW5dLshuVihElDHdC6EZ,https://api.spotify.com/v1/tracks/0teW5dLshuVihElDHdC6EZ,https://api.spotify.com/v1/audio-analysis/0teW5dLshuVihElDHdC6EZ,296115,4,Cluster 1
18,"Outomorrow - Anyma, Kevin de Vries Remix",KAS:ST,0.679,0.82,0,-8.343,1,0.045,0.0147,0.87,0.105,0.166,125.992,audio_features,2VraIbWVrzPs2YwGzjNPE3,spotify:track:2VraIbWVrzPs2YwGzjNPE3,https://api.spotify.com/v1/tracks/2VraIbWVrzPs2YwGzjNPE3,https://api.spotify.com/v1/audio-analysis/2VraIbWVrzPs2YwGzjNPE3,301423,4,Cluster 1
19,Quiet Distortion - Bart Skils Remix,Gregor Tresher,0.635,0.751,6,-8.402,0,0.0416,0.000752,0.831,0.121,0.158,129.999,audio_features,2Dp0PXgdEfQSZSGIzYe4N9,spotify:track:2Dp0PXgdEfQSZSGIzYe4N9,https://api.spotify.com/v1/tracks/2Dp0PXgdEfQSZSGIzYe4N9,https://api.spotify.com/v1/audio-analysis/2Dp0PXgdEfQSZSGIzYe4N9,314769,4,Cluster 1
20,Too Little Too Late - Little Late Edit,Joris Voorn,0.682,0.737,4,-10.628,0,0.0412,0.00559,0.689,0.0873,0.169,128.005,audio_features,5mLllF9AIePVdhExTiNyyr,spotify:track:5mLllF9AIePVdhExTiNyyr,https://api.spotify.com/v1/tracks/5mLllF9AIePVdhExTiNyyr,https://api.spotify.com/v1/audio-analysis/5mLllF9AIePVdhExTiNyyr,260625,4,Cluster 1
21,Paradise - Âme Remix,mOat,0.747,0.642,5,-9.743,0,0.0308,0.015,0.371,0.0812,0.514,125.99,audio_features,6m1p8pNdASucv2yWqYeMOs,spotify:track:6m1p8pNdASucv2yWqYeMOs,https://api.spotify.com/v1/tracks/6m1p8pNdASucv2yWqYeMOs,https://api.spotify.com/v1/audio-analysis/6m1p8pNdASucv2yWqYeMOs,244513,4,Cluster 1
22,Self Control,Laura Branigan,0.814,0.686,6,-12.172,0,0.0342,0.219,0.00382,0.155,0.778,106.679,audio_features,6JNJERZGJwDVgkmbohBw7u,spotify:track:6JNJERZGJwDVgkmbohBw7u,https://api.spotify.com/v1/tracks/6JNJERZGJwDVgkmbohBw7u,https://api.spotify.com/v1/audio-analysis/6JNJERZGJwDVgkmbohBw7u,246440,4,Cluster 1
23,Suçlarımdan Biri,Güneş,0.763,0.733,5,-6.534,0,0.113,0.138,0.0,0.0827,0.587,94.977,audio_features,65tIJClJx8fHo6YW4wVDhi,spotify:track:65tIJClJx8fHo6YW4wVDhi,https://api.spotify.com/v1/tracks/65tIJClJx8fHo6YW4wVDhi,https://api.spotify.com/v1/audio-analysis/65tIJClJx8fHo6YW4wVDhi,171894,4,Cluster 3
24,Mektup,Motive,0.765,0.595,9,-6.759,1,0.0898,0.212,0.0,0.0713,0.192,108.012,audio_features,3V2K2UzQeNNF5VnbDiIUKj,spotify:track:3V2K2UzQeNNF5VnbDiIUKj,https://api.spotify.com/v1/tracks/3V2K2UzQeNNF5VnbDiIUKj,https://api.spotify.com/v1/audio-analysis/3V2K2UzQeNNF5VnbDiIUKj,311667,4,Cluster 1
25,Paranoya,UZI,0.809,0.668,2,-6.105,1,0.0482,0.353,0.0,0.185,0.298,120.026,audio_features,2dTMlaRJPRMDUbPHdn5AzC,spotify:track:2dTMlaRJPRMDUbPHdn5AzC,https://api.spotify.com/v1/tracks/2dTMlaRJPRMDUbPHdn5AzC,https://api.spotify.com/v1/audio-analysis/2dTMlaRJPRMDUbPHdn5AzC,212115,4,Cluster 3
26,Umutsuz Aşk Sözlü - Yalı Çapkını Original Soundtrack,Güldiyar Tanrıdağlı,0.248,0.131,4,-16.739,0,0.0446,0.757,0.0734,0.108,0.112,119.532,audio_features,0uJb1wZRumVrHkwNFjnMUx,spotify:track:0uJb1wZRumVrHkwNFjnMUx,https://api.spotify.com/v1/tracks/0uJb1wZRumVrHkwNFjnMUx,https://api.spotify.com/v1/audio-analysis/0uJb1wZRumVrHkwNFjnMUx,255038,4,Cluster 3
27,Kalmak Daha Zor,Güneş,0.622,0.774,9,-7.142,0,0.0606,0.3,0.00214,0.225,0.222,105.001,audio_features,29xYa3CaDjJmYJOV5CwAYR,spotify:track:29xYa3CaDjJmYJOV5CwAYR,https://api.spotify.com/v1/tracks/29xYa3CaDjJmYJOV5CwAYR,https://api.spotify.com/v1/audio-analysis/29xYa3CaDjJmYJOV5CwAYR,166690,4,Cluster 3
28,Shades Of Night,Einmusik,0.722,0.758,2,-9.085,1,0.0354,9.01e-05,0.762,0.104,0.0878,123.996,audio_features,5S4eQ6DcoKLwbPzSZltt3R,spotify:track:5S4eQ6DcoKLwbPzSZltt3R,https://api.spotify.com/v1/tracks/5S4eQ6DcoKLwbPzSZltt3R,https://api.spotify.com/v1/audio-analysis/5S4eQ6DcoKLwbPzSZltt3R,409492,4,Cluster 1
29,All You Leave Behind,Ross Tones,0.47,0.666,0,-8.262,1,0.0443,0.138,0.882,0.116,0.181,109.995,audio_features,71kgYe2CgJ21U8A2Fl3Udh,spotify:track:71kgYe2CgJ21U8A2Fl3Udh,https://api.spotify.com/v1/tracks/71kgYe2CgJ21U8A2Fl3Udh,https://api.spotify.com/v1/audio-analysis/71kgYe2CgJ21U8A2Fl3Udh,177505,3,Cluster 3
30,Diet Mountain Dew,Lana Del Rey,0.46,0.683,10,-5.97,0,0.0891,0.282,0.0,0.425,0.592,175.743,audio_features,3liOnWUe0m0bi4gjaBIkAu,spotify:track:3liOnWUe0m0bi4gjaBIkAu,https://api.spotify.com/v1/tracks/3liOnWUe0m0bi4gjaBIkAu,https://api.spotify.com/v1/audio-analysis/3liOnWUe0m0bi4gjaBIkAu,222920,4,Cluster 3
31,Claire,Anyma,0.621,0.64,4,-11.718,0,0.0339,0.166,0.461,0.0972,0.0961,122.051,audio_features,54CipIOeFb1lZYFhHi26lo,spotify:track:54CipIOeFb1lZYFhHi26lo,https://api.spotify.com/v1/tracks/54CipIOeFb1lZYFhHi26lo,https://api.spotify.com/v1/audio-analysis/54CipIOeFb1lZYFhHi26lo,287579,4,Cluster 1
32,Consciousness,Anyma,0.596,0.837,7,-5.983,0,0.0488,0.0775,0.806,0.297,0.0954,125.93,audio_features,1DOuZaf52j4O1zlyQpxSQx,spotify:track:1DOuZaf52j4O1zlyQpxSQx,https://api.spotify.com/v1/tracks/1DOuZaf52j4O1zlyQpxSQx,https://api.spotify.com/v1/audio-analysis/1DOuZaf52j4O1zlyQpxSQx,274552,3,Cluster 3
33,My City's On Fire - Notre Dame Remix,Jimi Jules,0.845,0.597,9,-10.504,0,0.0679,0.0105,0.0998,0.0727,0.628,119.025,audio_features,0CooOHDzLzKqM3zadwQiK9,spotify:track:0CooOHDzLzKqM3zadwQiK9,https://api.spotify.com/v1/tracks/0CooOHDzLzKqM3zadwQiK9,https://api.spotify.com/v1/audio-analysis/0CooOHDzLzKqM3zadwQiK9,299115,4,Cluster 1
34,Bukk,Landhouse,0.749,0.225,11,-21.134,0,0.0358,0.612,0.901,0.0927,0.0399,102.001,audio_features,3LVM4PpGzDU1T1c4kOW1qq,spotify:track:3LVM4PpGzDU1T1c4kOW1qq,https://api.spotify.com/v1/tracks/3LVM4PpGzDU1T1c4kOW1qq,https://api.spotify.com/v1/audio-analysis/3LVM4PpGzDU1T1c4kOW1qq,474842,4,Cluster 1
35,NKBİ X YAPAMAM - Remix,Lvbel C5,0.558,0.67,2,-6.813,0,0.0344,0.0102,4.67e-06,0.0756,0.277,99.999,audio_features,4ist5GP5r7UDz9gdsiJmYd,spotify:track:4ist5GP5r7UDz9gdsiJmYd,https://api.spotify.com/v1/tracks/4ist5GP5r7UDz9gdsiJmYd,https://api.spotify.com/v1/audio-analysis/4ist5GP5r7UDz9gdsiJmYd,182400,4,Cluster 3
36,Gitme Bebé,Güneş,0.58,0.655,7,-8.071,0,0.0355,0.243,0.000155,0.313,0.157,99.972,audio_features,6hCQeXoFDXvYZ0pu2MDM0h,spotify:track:6hCQeXoFDXvYZ0pu2MDM0h,https://api.spotify.com/v1/tracks/6hCQeXoFDXvYZ0pu2MDM0h,https://api.spotify.com/v1/audio-analysis/6hCQeXoFDXvYZ0pu2MDM0h,156000,4,Cluster 3
37,The Story About Us,Sezer Uysal,0.798,0.663,0,-8.497,0,0.0483,0.0241,0.867,0.0591,0.466,114.987,audio_features,7dwgXlCGysayUv14E6Kk2m,spotify:track:7dwgXlCGysayUv14E6Kk2m,https://api.spotify.com/v1/tracks/7dwgXlCGysayUv14E6Kk2m,https://api.spotify.com/v1/audio-analysis/7dwgXlCGysayUv14E6Kk2m,477350,4,Cluster 1
38,Love Me More,Sam Smith,0.791,0.439,10,-5.62,1,0.0645,0.302,1.85e-05,0.126,0.559,85.004,audio_features,16MQETUgqXwY4lZcyRafU3,spotify:track:16MQETUgqXwY4lZcyRafU3,https://api.spotify.com/v1/tracks/16MQETUgqXwY4lZcyRafU3,https://api.spotify.com/v1/audio-analysis/16MQETUgqXwY4lZcyRafU3,190659,4,Cluster 3
39,Unholy (feat. Kim Petras) - Orchestral Version,Sam Smith,0.699,0.687,9,-7.166,1,0.0625,0.412,0.0,0.0771,0.653,131.104,audio_features,5JeshNQ0X8V6N4cNjgC50D,spotify:track:5JeshNQ0X8V6N4cNjgC50D,https://api.spotify.com/v1/tracks/5JeshNQ0X8V6N4cNjgC50D,https://api.spotify.com/v1/audio-analysis/5JeshNQ0X8V6N4cNjgC50D,166091,4,Cluster 3
40,Unholy (feat. Kim Petras),Sam Smith,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,audio_features,3nqQXoyQOWXiESFLlDF1hG,spotify:track:3nqQXoyQOWXiESFLlDF1hG,https://api.spotify.com/v1/tracks/3nqQXoyQOWXiESFLlDF1hG,https://api.spotify.com/v1/audio-analysis/3nqQXoyQOWXiESFLlDF1hG,156943,4,Cluster 3
41,Lacrimosa,Matt Kent,0.539,0.35,7,-12.787,0,0.0323,0.56,0.0,0.114,0.148,95.018,audio_features,5Cpm5i1PTM5Czzm75X16Fh,spotify:track:5Cpm5i1PTM5Czzm75X16Fh,https://api.spotify.com/v1/tracks/5Cpm5i1PTM5Czzm75X16Fh,https://api.spotify.com/v1/audio-analysis/5Cpm5i1PTM5Czzm75X16Fh,113687,3,Cluster 3
42,exile (feat. Bon Iver),Taylor Swift,0.298,0.38,6,-8.426,1,0.0287,0.778,5.62e-05,0.11,0.152,75.602,audio_features,4pvb0WLRcMtbPGmtejJJ6y,spotify:track:4pvb0WLRcMtbPGmtejJJ6y,https://api.spotify.com/v1/tracks/4pvb0WLRcMtbPGmtejJJ6y,https://api.spotify.com/v1/audio-analysis/4pvb0WLRcMtbPGmtejJJ6y,285634,4,Cluster 3
43,Kalbe Ben,Ayse Hatun Onal,0.652,0.783,0,-12.823,1,0.0356,0.0099,0.0182,0.103,0.215,124.001,audio_features,55WfgDU5Ntu0vjNqtYiGlS,spotify:track:55WfgDU5Ntu0vjNqtYiGlS,https://api.spotify.com/v1/tracks/55WfgDU5Ntu0vjNqtYiGlS,https://api.spotify.com/v1/audio-analysis/55WfgDU5Ntu0vjNqtYiGlS,272120,4,Cluster 1
44,Geçmiş Değişmez - Sezer Uysal Remix,Deeperise,0.762,0.678,4,-7.947,0,0.0369,0.00884,0.668,0.0628,0.37,118.0,audio_features,0cZXHOsf9XnaLLRXyyGoy8,spotify:track:0cZXHOsf9XnaLLRXyyGoy8,https://api.spotify.com/v1/tracks/0cZXHOsf9XnaLLRXyyGoy8,https://api.spotify.com/v1/audio-analysis/0cZXHOsf9XnaLLRXyyGoy8,358443,4,Cluster 1
45,My Own Time,Darin Epsilon,0.649,0.718,2,-9.725,0,0.0395,0.0352,0.81,0.1,0.482,121.996,audio_features,0EEsz3szMTlBb8uNc5uxUc,spotify:track:0EEsz3szMTlBb8uNc5uxUc,https://api.spotify.com/v1/tracks/0EEsz3szMTlBb8uNc5uxUc,https://api.spotify.com/v1/audio-analysis/0EEsz3szMTlBb8uNc5uxUc,397377,4,Cluster 1
46,Indigo Night,Tamino,0.538,0.335,3,-10.657,0,0.0321,0.625,0.117,0.106,0.15,111.799,audio_features,62DFvt3IhKq2i8wyigqeFO,spotify:track:62DFvt3IhKq2i8wyigqeFO,https://api.spotify.com/v1/tracks/62DFvt3IhKq2i8wyigqeFO,https://api.spotify.com/v1/audio-analysis/62DFvt3IhKq2i8wyigqeFO,255493,4,Cluster 3
47,Where’s My Love - Alternate Version,SYML,0.382,0.219,0,-11.805,0,0.0318,0.904,0.0196,0.108,0.161,103.768,audio_features,5IH7HQEWhToZnMQTZRzp1H,spotify:track:5IH7HQEWhToZnMQTZRzp1H,https://api.spotify.com/v1/tracks/5IH7HQEWhToZnMQTZRzp1H,https://api.spotify.com/v1/audio-analysis/5IH7HQEWhToZnMQTZRzp1H,248333,4,Cluster 3
48,Beauty And The Beast,The Mayan Factor,0.382,0.434,7,-7.578,0,0.027,0.224,0.0,0.117,0.0815,80.4,audio_features,63Yl19UxjlRzwLHYsI3pTr,spotify:track:63Yl19UxjlRzwLHYsI3pTr,https://api.spotify.com/v1/tracks/63Yl19UxjlRzwLHYsI3pTr,https://api.spotify.com/v1/audio-analysis/63Yl19UxjlRzwLHYsI3pTr,284613,4,Cluster 3
49,Rodrigo: Concierto de Aranjuez: II. Adagio,Joaquín Rodrigo,0.253,0.098,11,-19.878,0,0.0437,0.93,0.862,0.122,0.062,84.865,audio_features,0k6P9cdEA9K3k0ASde2Kof,spotify:track:0k6P9cdEA9K3k0ASde2Kof,https://api.spotify.com/v1/tracks/0k6P9cdEA9K3k0ASde2Kof,https://api.spotify.com/v1/audio-analysis/0k6P9cdEA9K3k0ASde2Kof,640267,4,Cluster 1
50,"Danse Macabre, Op. 40, R.171",Camille Saint-Saëns,0.371,0.131,7,-23.899,0,0.0422,0.898,0.925,0.0847,0.0656,106.872,audio_features,5OenUWwcUBDltPyN1Hh40D,spotify:track:5OenUWwcUBDltPyN1Hh40D,https://api.spotify.com/v1/tracks/5OenUWwcUBDltPyN1Hh40D,https://api.spotify.com/v1/audio-analysis/5OenUWwcUBDltPyN1Hh40D,442693,4,Cluster 1
51,"Suite No. 3 in D Major, BWV 1068: II. Air",Johann Sebastian Bach,0.0769,0.0846,2,-25.997,1,0.045,0.922,0.929,0.113,0.0586,176.329,audio_features,0DqFXzLtKkj9JO421NJpl1,spotify:track:0DqFXzLtKkj9JO421NJpl1,https://api.spotify.com/v1/tracks/0DqFXzLtKkj9JO421NJpl1,https://api.spotify.com/v1/audio-analysis/0DqFXzLtKkj9JO421NJpl1,363253,4,Cluster 1
52,Kill Kill,SLX1PUD,0.705,0.455,4,-9.153,0,0.0286,0.721,0.00271,0.11,0.176,105.993,audio_features,3R5JwXIiRrry3QaAZd0Lbu,spotify:track:3R5JwXIiRrry3QaAZd0Lbu,https://api.spotify.com/v1/tracks/3R5JwXIiRrry3QaAZd0Lbu,https://api.spotify.com/v1/audio-analysis/3R5JwXIiRrry3QaAZd0Lbu,238016,4,Cluster 3
53,Tulsa Jesus Freak,Lana Del Rey,0.387,0.339,2,-12.962,0,0.0489,0.918,0.00272,0.13,0.273,137.199,audio_features,0hyImI8JaWONOrzKH7kJsC,spotify:track:0hyImI8JaWONOrzKH7kJsC,https://api.spotify.com/v1/tracks/0hyImI8JaWONOrzKH7kJsC,https://api.spotify.com/v1/audio-analysis/0hyImI8JaWONOrzKH7kJsC,215674,4,Cluster 3
54,Temperateness,Monday in Neptune,0.619,0.498,9,-11.729,0,0.0347,0.528,0.903,0.0732,0.157,109.981,audio_features,7xhOn0890izyzmXQ8sudam,spotify:track:7xhOn0890izyzmXQ8sudam,https://api.spotify.com/v1/tracks/7xhOn0890izyzmXQ8sudam,https://api.spotify.com/v1/audio-analysis/7xhOn0890izyzmXQ8sudam,196490,4,Cluster 1
55,Paradise,Rui Reis Maia,0.269,0.404,4,-11.998,0,0.0363,0.797,0.0928,0.0633,0.164,102.986,audio_features,0rz3UpduvFDyzCR6tVqQ9N,spotify:track:0rz3UpduvFDyzCR6tVqQ9N,https://api.spotify.com/v1/tracks/0rz3UpduvFDyzCR6tVqQ9N,https://api.spotify.com/v1/audio-analysis/0rz3UpduvFDyzCR6tVqQ9N,320379,4,Cluster 3
56,Soldier of Fortune,Opeth,0.475,0.385,7,-8.675,0,0.0317,0.595,0.000267,0.131,0.183,134.368,audio_features,0TN3CFZuYzAWQCV9N3pVPN,spotify:track:0TN3CFZuYzAWQCV9N3pVPN,https://api.spotify.com/v1/tracks/0TN3CFZuYzAWQCV9N3pVPN,https://api.spotify.com/v1/audio-analysis/0TN3CFZuYzAWQCV9N3pVPN,208520,4,Cluster 3
57,Alâim-i Semâ: The Cry of the Flamingos,Şirin Pancaroğlu,0.577,0.169,5,-16.125,0,0.0383,0.95,0.523,0.074,0.243,140.971,audio_features,0sVuWrmmLQhuly57TXzwhZ,spotify:track:0sVuWrmmLQhuly57TXzwhZ,https://api.spotify.com/v1/tracks/0sVuWrmmLQhuly57TXzwhZ,https://api.spotify.com/v1/audio-analysis/0sVuWrmmLQhuly57TXzwhZ,371914,1,Cluster 3
58,Fjäll,Christian Löffler,0.611,0.697,9,-12.596,1,0.0347,0.164,0.935,0.0846,0.0388,123.037,audio_features,7KuYN3fAlt1JM689zzx3wJ,spotify:track:7KuYN3fAlt1JM689zzx3wJ,https://api.spotify.com/v1/tracks/7KuYN3fAlt1JM689zzx3wJ,https://api.spotify.com/v1/audio-analysis/7KuYN3fAlt1JM689zzx3wJ,315297,4,Cluster 1
59,a new sun,No Clear Mind,0.475,0.118,4,-18.638,0,0.0356,0.988,0.504,0.118,0.0459,130.069,audio_features,36RM19wDIjEMzcksgVW04H,spotify:track:36RM19wDIjEMzcksgVW04H,https://api.spotify.com/v1/tracks/36RM19wDIjEMzcksgVW04H,https://api.spotify.com/v1/audio-analysis/36RM19wDIjEMzcksgVW04H,361120,4,Cluster 1
60,Les Vitrines,Kid Francescoli,0.698,0.62,2,-6.463,0,0.0457,0.00466,0.77,0.531,0.386,112.01,audio_features,3jYM3j4E3kDtdN07Dzafdp,spotify:track:3jYM3j4E3kDtdN07Dzafdp,https://api.spotify.com/v1/tracks/3jYM3j4E3kDtdN07Dzafdp,https://api.spotify.com/v1/audio-analysis/3jYM3j4E3kDtdN07Dzafdp,197654,4,Cluster 3
61,Blow Up,Kid Francescoli,0.693,0.406,9,-8.154,1,0.0524,0.571,0.782,0.115,0.571,104.987,audio_features,7dNqszkx1prIf0m33E8gDw,spotify:track:7dNqszkx1prIf0m33E8gDw,https://api.spotify.com/v1/tracks/7dNqszkx1prIf0m33E8gDw,https://api.spotify.com/v1/audio-analysis/7dNqszkx1prIf0m33E8gDw,315086,4,Cluster 1
62,Araf - Extended Mix,Sezer Uysal,0.803,0.833,2,-7.141,1,0.0601,0.000676,0.907,0.106,0.39,123.023,audio_features,2mSSNCSQRRvUz2zJgPoRU4,spotify:track:2mSSNCSQRRvUz2zJgPoRU4,https://api.spotify.com/v1/tracks/2mSSNCSQRRvUz2zJgPoRU4,https://api.spotify.com/v1/audio-analysis/2mSSNCSQRRvUz2zJgPoRU4,439035,4,Cluster 1
63,Who Died and Made You King,Sascha Braemer,0.724,0.599,11,-15.969,0,0.0497,0.0388,0.848,0.107,0.231,119.998,audio_features,2W3XpXYmotMsZ2aN1224Gw,spotify:track:2W3XpXYmotMsZ2aN1224Gw,https://api.spotify.com/v1/tracks/2W3XpXYmotMsZ2aN1224Gw,https://api.spotify.com/v1/audio-analysis/2W3XpXYmotMsZ2aN1224Gw,390223,4,Cluster 1
64,Robots,Landhouse,0.795,0.256,9,-12.622,0,0.0583,0.553,0.914,0.0995,0.336,108.017,audio_features,4JLHvLj1cHJpopm40v32lY,spotify:track:4JLHvLj1cHJpopm40v32lY,https://api.spotify.com/v1/tracks/4JLHvLj1cHJpopm40v32lY,https://api.spotify.com/v1/audio-analysis/4JLHvLj1cHJpopm40v32lY,484478,4,Cluster 1
