code,area,date,median_salary,life_satisfaction,mean_salary,recycling_pct_x,population_size,number_of_jobs,area_size,no_of_houses,borough_flag,mean_recycle_pct,extended_pop_size,number_of_jobs_mean,total_hectar,recycling_pct_y
E09000005,brent,2000-12-01,22348.0,6.735949727407229,23726.0,7.0,253036.0,150000.0,4323.0,0.0,1,25.35," 307,220 ","120,500","4,323",25.35
E09000006,bromley,2000-12-01,16401.0,6.9699511370262455,21178.0,13.0,253036.0,150000.0,15013.0,0.0,1,35.05," 312,248 ","125,500","15,013",35.05
E09000007,camden,2000-12-01,25484.0,6.821976752556241,34864.0,16.0,253036.0,150000.0,2179.0,0.0,1,25.15," 210,941 ","320,000","2,179",25.15
E09000008,croydon,2000-12-01,21339.0,6.848958524919035,23440.0,12.0,253036.0,150000.0,8650.0,0.0,1,27.8," 363,545 ","147,000","8,650",27.799999999999997
E09000009,ealing,2000-12-01,22512.0,6.755290616417046,26615.0,12.0,253036.0,150000.0,5554.0,0.0,1,31.3," 337,910 ","144,000","5,554",31.299999999999997
E09000010,enfield,2000-12-01,22467.0,6.740573410846089,25198.0,8.0,253036.0,150000.0,8220.0,0.0,1,27.65," 307,073 ","114,500","8,220",27.65
E09000011,greenwich,2000-12-01,22121.0,6.720402275582006,23689.0,5.0,253036.0,150000.0,5044.0,0.0,1,26.75," 254,017 ","82,000","5,044",26.75
E09000012,hackney,2000-12-01,24083.0,6.581243599399722,34474.205882352944,1.0,253036.0,150000.0,1905.0,0.0,1,18.0," 237,843 ","109,500","1,905",18.0
E09000013,hammersmith and fulham,2000-12-01,25264.0,6.78560350875961,28742.0,8.0,253036.0,150000.0,1715.0,0.0,1,20.6," 178,334 ","139,500","1,715",20.6
E09000014,haringey,2000-12-01,19772.0,6.8494632108143,34474.205882352944,5.0,253036.0,150000.0,2960.0,0.0,1,22.65," 247,026 ","81,500","2,960",22.65
E09000015,harrow,2000-12-01,22238.0,6.994227009241061,24973.0,11.0,253036.0,150000.0,5046.0,0.0,1,33.2," 237,234 ","82,000","5,046",33.2
E09000016,havering,2000-12-01,17418.0,6.582744411834302,19309.0,6.0,253036.0,150000.0,11446.0,0.0,1,24.2," 241,560 ","90,500","11,446",24.2
E09000017,hillingdon,2000-12-01,25038.0,6.844840441498364,29755.0,13.0,253036.0,150000.0,11570.0,0.0,1,34.1," 275,669 ","202,000","11,570",34.1
E09000018,hounslow,2000-12-01,23230.0,6.906075579790645,27632.0,13.0,253036.0,150000.0,5659.0,0.0,1,25.9," 253,036 ","150,000","5,659",25.9
E09000019,islington,2000-12-01,26598.0,6.908898633468771,35135.0,5.0,253036.0,150000.0,1486.0,0.0,1,22.0," 200,758 ","205,500","1,486",22.0
E09000020,kensington and chelsea,2000-12-01,22952.0,6.874155217131647,28782.0,8.0,253036.0,150000.0,1238.0,0.0,1,22.6," 154,609 ","141,000","1,238",22.6
E09000021,kingston upon thames,2000-12-01,20983.0,6.857068123422649,25225.0,20.0,253036.0,150000.0,3726.0,0.0,1,34.4," 159,166 ","85,000","3,726",34.4
E09000022,lambeth,2000-12-01,24264.0,6.7143835661274895,28750.0,9.0,253036.0,150000.0,2725.0,0.0,1,21.6," 298,512 ","150,500","2,725",21.6
E09000023,lewisham,2000-12-01,22357.0,6.916549844897945,22659.0,5.0,253036.0,150000.0,3532.0,0.0,1,15.2," 277,264 ","79,500","3,532",15.2
E09000024,merton,2000-12-01,18906.0,6.86283891061147,22987.0,18.0,253036.0,150000.0,3762.0,0.0,1,28.45," 202,277 ","87,500","3,762",28.450000000000003
E09000025,newham,2000-12-01,19437.0,6.745265454798185,21609.0,3.0,253036.0,150000.0,3857.0,0.0,1,12.4," 303,632 ","86,500","3,857",12.399999999999999
E09000026,redbridge,2000-12-01,20256.0,6.892201535270571,22421.0,9.0,253036.0,150000.0,5644.0,0.0,1,21.65," 277,852 ","84,000","5,644",21.65
E09000027,richmond upon thames,2000-12-01,22574.0,6.7970810062557945,27702.0,15.0,253036.0,150000.0,5876.0,0.0,1,35.421052631578945," 185,702 ","91,000","5,876",35.421052631578945
E09000028,southwark,2000-12-01,24857.0,6.911854024099432,29101.0,3.0,253036.0,150000.0,2991.0,0.0,1,20.9," 284,351 ","246,000","2,991",20.9
E09000029,sutton,2000-12-01,22019.0,6.568075626615717,26891.0,25.0,253036.0,150000.0,4385.0,0.0,1,32.95," 194,087 ","78,000","4,385",32.95
E09000030,tower hamlets,2000-12-01,28445.0,6.88800443208259,47253.0,3.0,253036.0,150000.0,2158.0,0.0,1,17.15,,"237,000","2,158",17.15
E09000031,waltham forest,2000-12-01,19776.0,6.763820342148909,22009.0,9.0,253036.0,150000.0,3881.0,0.0,1,24.5," 253,389 ","75,000","3,881",24.5
E09000032,wandsworth,2000-12-01,22840.0,6.8179801728773075,26862.0,7.0,253036.0,150000.0,3522.0,0.0,1,19.8," 302,305 ","129,500","3,522",19.8
E09000033,westminster,2000-12-01,25951.0,6.747760101945508,40903.0,7.0,253036.0,150000.0,2203.0,0.0,1,17.7,,"659,000","2,203",17.7
E09000001,city of london,2001-12-01,39104.0,6.508795599815311,62819.0,0.0,253036.0,150000.0,1300380.0,5009.0,1,23.75," 7,798 ","412,000",315,23.75
E09000002,barking and dagenham,2001-12-01,22323.0,6.836978776049859,26050.0,3.0,253036.0,150000.0,1300380.0,68298.0,1,18.7," 190,533 ","54,500","3,780",18.7
E09000003,barnet,2001-12-01,20916.0,6.642805500332723,26068.0,8.0,253036.0,150000.0,1300380.0,130515.0,1,27.2," 355,461 ","145,000","8,675",27.200000000000003
E09000004,bexley,2001-12-01,20217.0,6.984941281349883,23559.0,20.0,253036.0,150000.0,1300380.0,91606.0,1,41.5," 232,682 ","79,500","6,429",41.5
E09000005,brent,2001-12-01,21878.0,6.510635018500713,24164.0,7.0,253036.0,150000.0,1300380.0,101427.0,1,25.35," 307,220 ","120,500","4,323",25.35
E09000006,bromley,2001-12-01,15684.0,6.894400842239682,19749.0,14.0,253036.0,150000.0,1300380.0,128717.0,1,35.05," 312,248 ","125,500","15,013",35.05
E09000007,camden,2001-12-01,27386.0,6.729782611713241,40033.0,12.0,253036.0,150000.0,1300380.0,93112.0,1,25.15," 210,941 ","320,000","2,179",25.15
E09000008,croydon,2001-12-01,20889.0,6.511565769430388,23994.0,12.0,253036.0,150000.0,1300380.0,141300.0,1,27.8," 363,545 ","147,000","8,650",27.799999999999997
E09000009,ealing,2001-12-01,23862.0,6.942837266398536,29516.0,13.0,253036.0,150000.0,1300380.0,120331.0,1,31.3," 337,910 ","144,000","5,554",31.299999999999997
E09000010,enfield,2001-12-01,24136.0,6.780362126655792,27605.0,13.0,253036.0,150000.0,1300380.0,112948.0,1,27.65," 307,073 ","114,500","8,220",27.65
E09000011,greenwich,2001-12-01,20761.0,6.682318659676846,23932.0,7.0,253036.0,150000.0,1300380.0,95406.0,1,26.75," 254,017 ","82,000","5,044",26.75
E09000012,hackney,2001-12-01,24095.0,6.604767092161236,34474.205882352944,1.0,253036.0,150000.0,1300380.0,87208.0,1,18.0," 237,843 ","109,500","1,905",18.0
E09000013,hammersmith and fulham,2001-12-01,26319.0,6.827328517230553,30968.0,8.0,253036.0,150000.0,1300380.0,77095.0,1,20.6," 178,334 ","139,500","1,715",20.6
E09000014,haringey,2001-12-01,20349.0,6.686156891859895,21748.0,5.0,253036.0,150000.0,1300380.0,93638.0,1,22.65," 247,026 ","81,500","2,960",22.65
E09000015,harrow,2001-12-01,22960.0,6.921984090132892,26650.0,13.0,253036.0,150000.0,1300380.0,80734.0,1,33.2," 237,234 ","82,000","5,046",33.2
E09000016,havering,2001-12-01,17940.0,6.847259688136433,20002.0,9.0,253036.0,150000.0,1300380.0,93792.0,1,24.2," 241,560 ","90,500","11,446",24.2
E09000017,hillingdon,2001-12-01,26051.0,6.638433143007027,30465.0,20.0,253036.0,150000.0,1300380.0,99060.0,1,34.1," 275,669 ","202,000","11,570",34.1
E09000018,hounslow,2001-12-01,22853.0,6.896565705916999,28795.0,16.0,253036.0,150000.0,1300380.0,85810.0,1,25.9," 253,036 ","150,000","5,659",25.9
E09000019,islington,2001-12-01,28323.0,6.580739269552136,44989.0,6.0,253036.0,150000.0,1300380.0,83244.0,1,22.0," 200,758 ","205,500","1,486",22.0
E09000020,kensington and chelsea,2001-12-01,24979.0,6.760874453376025,32475.0,9.0,253036.0,150000.0,1300380.0,83751.0,1,22.6," 154,609 ","141,000","1,238",22.6
E09000021,kingston upon thames,2001-12-01,21427.0,6.838972082467985,27219.0,18.0,253036.0,150000.0,1300380.0,62474.0,1,34.4," 159,166 ","85,000","3,726",34.4
E09000022,lambeth,2001-12-01,24019.0,6.800591062941568,30242.0,8.0,253036.0,150000.0,1300380.0,120390.0,1,21.6," 298,512 ","150,500","2,725",21.6
E09000023,lewisham,2001-12-01,21990.0,6.644906895668619,24850.0,6.0,253036.0,150000.0,1300380.0,108964.0,1,15.2," 277,264 ","79,500","3,532",15.2
E09000024,merton,2001-12-01,21014.0,6.55610895351863,25615.0,15.0,253036.0,150000.0,1300380.0,80789.0,1,28.45," 202,277 ","87,500","3,762",28.450000000000003
E09000025,newham,2001-12-01,21054.0,6.5259966186749905,27763.0,3.0,253036.0,150000.0,1300380.0,93390.0,1,12.4," 303,632 ","86,500","3,857",12.399999999999999
E09000026,redbridge,2001-12-01,21106.0,6.827671523887072,24321.0,10.0,253036.0,150000.0,1300380.0,93989.0,1,21.65," 277,852 ","84,000","5,644",21.65
E09000027,richmond upon thames,2001-12-01,23799.0,6.6824350804092285,29854.0,19.0,253036.0,150000.0,1300380.0,78411.0,1,35.421052631578945," 185,702 ","91,000","5,876",35.421052631578945
E09000028,southwark,2001-12-01,27114.0,6.789397957673544,29423.0,4.0,253036.0,150000.0,1300380.0,107119.0,1,20.9," 284,351 ","246,000","2,991",20.9
E09000029,sutton,2001-12-01,22972.0,6.965910179700668,25235.0,16.0,253036.0,150000.0,1300380.0,77701.0,1,32.95," 194,087 ","78,000","4,385",32.95
E09000030,tower hamlets,2001-12-01,31232.0,6.653331941065522,55045.0,3.0,253036.0,150000.0,1300380.0,80225.0,1,17.15,,"237,000","2,158",17.15
E09000031,waltham forest,2001-12-01,21245.0,6.596857374879952,23023.0,8.0,253036.0,150000.0,1300380.0,91992.0,1,24.5," 253,389 ","75,000","3,881",24.5
E09000032,wandsworth,2001-12-01,22054.0,6.912707426815058,25861.0,8.0,253036.0,150000.0,1300380.0,120744.0,1,19.8," 302,305 ","129,500","3,522",19.8
E09000033,westminster,2001-12-01,26829.0,6.9119343789767,41566.0,9.0,253036.0,150000.0,1300380.0,101213.0,1,17.7,,"659,000","2,203",17.7
E09000001,city of london,2002-12-01,39750.0,6.841530627646151,56450.0,1.0,253036.0,150000.0,1300380.0,5117.0,1,23.75," 7,798 ","412,000",315,23.75
E09000002,barking and dagenham,2002-12-01,24813.0,6.797419690148187,26653.0,3.0,253036.0,150000.0,1300380.0,68526.0,1,18.7," 190,533 ","54,500","3,780",18.7
E09000003,barnet,2002-12-01,23112.0,6.559960972210555,30210.0,13.0,253036.0,150000.0,1300380.0,130801.0,1,27.2," 355,461 ","145,000","8,675",27.200000000000003
E09000004,bexley,2002-12-01,21101.0,6.962663487562701,23517.0,23.0,253036.0,150000.0,1300380.0,91908.0,1,41.5," 232,682 ","79,500","6,429",41.5
E09000005,brent,2002-12-01,21350.0,6.644682716534138,24071.0,8.0,253036.0,150000.0,1300380.0,102828.0,1,25.35," 307,220 ","120,500","4,323",25.35
E09000006,bromley,2002-12-01,16635.0,6.835648625057683,21513.0,15.0,253036.0,150000.0,1300380.0,128974.0,1,35.05," 312,248 ","125,500","15,013",35.05
E09000007,camden,2002-12-01,27432.0,6.933240813114526,34486.0,14.0,253036.0,150000.0,1300380.0,93884.0,1,25.15," 210,941 ","320,000","2,179",25.15
E09000008,croydon,2002-12-01,22675.0,6.520308461380548,25815.0,13.0,253036.0,150000.0,1300380.0,141424.0,1,27.8," 363,545 ","147,000","8,650",27.799999999999997
E09000009,ealing,2002-12-01,24542.0,6.834743781434084,29470.0,15.0,253036.0,150000.0,1300380.0,120590.0,1,31.3," 337,910 ","144,000","5,554",31.299999999999997
E09000010,enfield,2002-12-01,24654.0,6.8017209409508546,26835.0,14.0,253036.0,150000.0,1300380.0,114131.0,1,27.65," 307,073 ","114,500","8,220",27.65
E09000011,greenwich,2002-12-01,21846.0,6.925382868455871,23853.0,7.0,253036.0,150000.0,1300380.0,95972.0,1,26.75," 254,017 ","82,000","5,044",26.75
E09000012,hackney,2002-12-01,24582.0,6.807120408332064,32321.0,3.0,253036.0,150000.0,1300380.0,88557.0,1,18.0," 237,843 ","109,500","1,905",18.0
E09000013,hammersmith and fulham,2002-12-01,28012.0,6.995769250242217,37855.0,10.0,253036.0,150000.0,1300380.0,77287.0,1,20.6," 178,334 ","139,500","1,715",20.6
E09000014,haringey,2002-12-01,21972.0,6.828434345894788,23632.0,5.0,253036.0,150000.0,1300380.0,94321.0,1,22.65," 247,026 ","81,500","2,960",22.65
E09000015,harrow,2002-12-01,23176.0,6.68709917483761,26303.0,12.0,253036.0,150000.0,1300380.0,80963.0,1,33.2," 237,234 ","82,000","5,046",33.2
E09000016,havering,2002-12-01,16123.0,6.771358180668553,19520.0,5.0,253036.0,150000.0,1300380.0,94194.0,1,24.2," 241,560 ","90,500","11,446",24.2
E09000017,hillingdon,2002-12-01,26159.0,6.912025562647332,30463.0,28.0,253036.0,150000.0,1300380.0,99328.0,1,34.1," 275,669 ","202,000","11,570",34.1
E09000018,hounslow,2002-12-01,24399.0,6.568556746594442,32582.0,20.0,253036.0,150000.0,1300380.0,86521.0,1,25.9," 253,036 ","150,000","5,659",25.9
E09000019,islington,2002-12-01,33497.0,6.7532025995203036,54080.0,6.0,253036.0,150000.0,1300380.0,84255.0,1,22.0," 200,758 ","205,500","1,486",22.0
E09000020,kensington and chelsea,2002-12-01,26649.0,6.569873519410928,35481.0,9.0,253036.0,150000.0,1300380.0,83819.0,1,22.6," 154,609 ","141,000","1,238",22.6
E09000021,kingston upon thames,2002-12-01,22575.0,6.764981458020779,29702.0,18.0,253036.0,150000.0,1300380.0,62621.0,1,34.4," 159,166 ","85,000","3,726",34.4
E09000022,lambeth,2002-12-01,24952.0,6.9308407727509005,31630.0,10.0,253036.0,150000.0,1300380.0,121455.0,1,21.6," 298,512 ","150,500","2,725",21.6
E09000023,lewisham,2002-12-01,23254.0,6.533730740580178,25909.0,7.0,253036.0,150000.0,1300380.0,109435.0,1,15.2," 277,264 ","79,500","3,532",15.2
E09000024,merton,2002-12-01,22429.0,6.788255205852361,27052.0,15.0,253036.0,150000.0,1300380.0,80602.0,1,28.45," 202,277 ","87,500","3,762",28.450000000000003
E09000025,newham,2002-12-01,21420.0,6.68211774275977,24900.0,5.0,253036.0,150000.0,1300380.0,94609.0,1,12.4," 303,632 ","86,500","3,857",12.399999999999999
E09000026,redbridge,2002-12-01,22133.0,6.900746163506496,24512.0,13.0,253036.0,150000.0,1300380.0,94682.0,1,21.65," 277,852 ","84,000","5,644",21.65
E09000027,richmond upon thames,2002-12-01,23311.0,6.524797426109131,30680.0,23.0,253036.0,150000.0,1300380.0,78676.0,1,35.421052631578945," 185,702 ","91,000","5,876",35.421052631578945
E09000028,southwark,2002-12-01,28062.0,6.94956546585285,30906.0,4.0,253036.0,150000.0,1300380.0,107540.0,1,20.9," 284,351 ","246,000","2,991",20.9
E09000029,sutton,2002-12-01,23311.0,6.682781341662371,25965.0,19.0,253036.0,150000.0,1300380.0,77734.0,1,32.95," 194,087 ","78,000","4,385",32.95
E09000030,tower hamlets,2002-12-01,31168.0,6.544931790308998,49998.0,3.0,253036.0,150000.0,1300380.0,82185.0,1,17.15,,"237,000","2,158",17.15
E09000031,waltham forest,2002-12-01,21799.0,6.603463268404911,23817.0,11.0,253036.0,150000.0,1300380.0,92409.0,1,24.5," 253,389 ","75,000","3,881",24.5
E09000032,wandsworth,2002-12-01,23720.0,6.896828525670575,27665.0,10.0,253036.0,150000.0,1300380.0,121620.0,1,19.8," 302,305 ","129,500","3,522",19.8
E09000033,westminster,2002-12-01,28879.0,6.510649998171381,43576.0,10.0,253036.0,150000.0,1300380.0,103124.0,1,17.7,,"659,000","2,203",17.7
